"","Gene_id","AvgDif_12B","AvgDif_10G","AvgDif_3D7B","Red_12B","Red_10G","Red_3D7B","MaxAvgDif","Exp_12B","Exp_10G","Exp_3D7B"
"2500","PF3D7_1014600",-0.0659740968284027,0.0813248824028315,0.000283273470128926,15477.725,17730.725,17101.0583333333,0.147298979231234,1,1,1
"2501","PF3D7_1014700",0.124250930999848,-0.13007585598633,-0.0598561268758619,802.458333333331,842.625,987.300000000002,0.254326786986178,1,1,1
"2502","PF3D7_1014800",0.3519390291205,0.158258351970076,-0.388535692600567,638.958333333333,489.366666666667,563.854166666667,0.740474721721067,0,0,0
"2503","PF3D7_1014900",-0.0668808457244506,-0.0328121441142573,-0.00491514605928319,12717.275,13202.8833333333,13000.675,0.0619656996651674,1,1,1
"2504","PF3D7_1015000",0.102546820892241,0.039207643466211,-0.0100382823766885,2431.61666666666,2088.9,2255.59166666667,0.112585103268929,1,1,1
"2505","PF3D7_1015100",0.119107869028099,0.0324900069184471,-0.0615326657429923,2003.77916666666,1821.16666666667,2181.40833333333,0.180640534771091,1,1,1
"2506","PF3D7_1015200",-0.0355895929396638,-0.0359735749175746,0.111545183099734,2109.71666666667,2122.825,2223.95,0.147518758017308,1,1,1
"2507","PF3D7_1015300",0.0484324230041576,0.0358162776311466,-0.110041231908668,1896.725,1772.19583333334,1737.29583333333,0.158473654912825,1,1,1
"2508","PF3D7_1015400",0.160962156496984,0.054691147229475,0.0246861153349102,3676.8625,3486.21875,3040.30416666666,0.136276041162074,1,1,1
"2509","PF3D7_1015500",-0.0083937505421084,0.0728942405211258,-0.197313660822562,876.691666666667,796.625,779.9,0.270207901343688,1,1,1
"2510","PF3D7_1015600",-0.0249192908656415,-0.0163682662540876,0.175101916789102,3067.64583333333,3542.08333333333,3550.39166666667,0.200021207654743,1,1,1
"2511","PF3D7_1015800",-0.110853030087414,-0.0425961926649451,0.0105659213510546,8146.56666666667,9125.71666666667,8965.89166666668,0.121418951438468,1,1,1
"2512","PF3D7_1015900",0.159916898768718,-0.293325970387906,-0.0703169146540703,20707.6666666666,17438.0541666667,22324.775,0.453242869156624,1,1,1
"2513","PF3D7_1016000",0.159176973372471,-0.100167727192007,-0.25853805721672,5635,4362.875,5107.28333333333,0.417715030589191,1,1,1
"2514","PF3D7_1016100",0.579327361327729,0.478555651365253,-0.683483549162152,182.166666666667,126.25,65.0333333333333,1.26281091048988,0,0,0
"2515","PF3D7_1016200",0.0807593448249464,-0.0724413629655391,-0.0510044175161488,1501.01458333333,1475.94166666667,1563.74583333333,0.153200707790486,1,1,1
"2516","PF3D7_1016300",-0.142699143547123,0.307146138540692,-0.372819615203383,46383.0333333333,51920.5333333334,46444.275,0.679965753744075,1,1,1
"2517","PF3D7_1016400",-0.0535999429895581,0.052612718975089,-0.118144638750487,5666.01666666666,6481.10833333334,6693.49166666666,0.170757357725576,1,1,1
"2518","PF3D7_1016600",0.00767564447462039,-0.043589196413506,0.289872652010546,324.7625,352.008333333333,254.395833333333,0.333461848424052,0,0,0
"2519","PF3D7_1016700",0.205324823633664,-0.0914586457649755,-0.208245948726314,975.075000000002,770.179166666667,728.391666666666,0.413570772359978,1,1,1
"2520","PF3D7_1016800",0.0138590858434795,0.049596611540104,-0.135719104080461,13858.4666666667,6465.94166666667,12414.2,0.185315715620565,1,1,1
"2521","PF3D7_1016900",-0.0584126540822442,-0.121073061027642,0.404210233229392,7618.26666666666,6842.33333333333,8580.3,0.525283294257034,1,1,1
"2522","PF3D7_1017000",0.0452372653452892,-0.0981666097299079,0.224163225626657,3118.35833333333,2832.34166666666,3389.87916666666,0.322329835356565,1,1,1
"2523","PF3D7_1017100",0.00665782536006965,0.00959172932816628,0.0380351281257128,12371.7,11685.6166666667,16067.8833333333,0.0313773027656431,1,1,1
"2524","PF3D7_1017200",0.0434017920373653,0.10774489864425,-0.229774695418107,473.783333333334,577.795833333333,463.075,0.337519594062357,0,0,0
"2525","PF3D7_1017300",0.0892451303301988,-0.125329685533152,-0.07476416478708,2633.00416666667,2107.35,2215.96666666666,0.214574815863351,1,1,1
"2526","PF3D7_1017400",-0.0247301993743359,-0.156268356447181,0.0718957602110247,2873.4,4313.71666666667,2887.08333333333,0.228164116658205,1,1,1
"2527","PF3D7_1017500",0.139391426379496,0.0485077862924773,-0.303062604995054,39520.5333333334,38016.55,28839.2333333334,0.44245403137455,1,1,1
"2528","PF3D7_1017600",0.0125497887573265,0.123131175839877,-0.0948268081881085,4903.40416666667,7330.44166666667,6364.18333333333,0.217957984027985,1,1,1
"2529","PF3D7_1017700",-0.00178781104448359,0.109647949473219,-0.226978503734372,632.925,781.995833333334,1016.09166666667,0.336626453207591,1,1,1
"2530","PF3D7_1017800",0.0376853823063256,-0.0244021680599419,-0.136565909426239,2311.45416666667,2686.0125,2699.6875,0.174251291732565,1,1,1
"2531","PF3D7_1017900",-0.0318878326972284,0.0408207125901523,-0.106799655130739,5472.04166666667,5922.775,6292.8875,0.147620367720891,1,1,1
"2532","PF3D7_1018000",0.20681404814781,0.106135706441743,-0.0703767410235286,1472,1427.20833333333,1474.56666666667,0.277190789171338,1,1,1
"2533","PF3D7_1018100",0.171871954178935,0.158430847120935,-0.429237586277645,166.233333333333,189.85,130.7,0.60110954045658,0,0,0
"2534","PF3D7_1018200",0.0642465292485086,-0.206646979590134,0.0676126930582305,6401.16666666666,8322.5,11897.95,0.274259672648364,1,1,1
"2535","PF3D7_1018300",-0.000146967539127983,0.0126535429154288,0.0175070629671284,5105.3125,5186.4625,4493.36666666666,0.0176540305062564,1,1,1
"2536","PF3D7_1018400",0.346759858482659,0.366290459804763,-0.502051332934836,541.8125,273.691666666666,267.558333333333,0.868341792739598,0,0,0
"2537","PF3D7_1018500",-0.112433248359463,-0.0739527287422363,-0.0276918081589725,1646.23333333333,1584.61666666666,1604.56666666667,0.0847414402004905,1,1,1
"2538","PF3D7_1018700",-0.00873557290392558,0.0518282401118143,-0.210392084659792,5548.21666666667,7731.63333333333,6255.67083333333,0.262220324771606,1,1,1
"2539","PF3D7_1018800",0.09826770808971,0.290854844804409,-0.395441880267732,437.8375,395.691666666666,370.877083333334,0.686296725072141,0,0,0
"2540","PF3D7_1018900",0.261586200724054,0.224962124382433,-0.357746659277694,1525.05833333333,1678.6875,1341.8125,0.619332860001747,1,1,1
"2541","PF3D7_1019000",0.0524027467493715,0.150716018894686,-0.102245735782589,9508.72500000001,9489.35,9311.85833333333,0.252961754677275,1,1,1
"2542","PF3D7_1019100",-0.109207506959085,0.203166989904591,-0.050501106279431,11656.9166666666,11605.95,11226.3,0.312374496863676,1,1,1
"2543","PF3D7_1019200",0.114613909231234,-0.114758127783041,-0.109048603000013,446.1,329.533333333334,283.433333333333,0.229372037014274,0,0,0
"2544","PF3D7_1019300",0.117848531197401,0.194099878546799,-0.194340872396258,1744.925,2785.43333333334,2695.525,0.388440750943057,1,1,1
"2545","PF3D7_1019400",0.125752527775521,-0.156231375474442,-0.0620185422366502,8645.8,6263.31666666667,9254.23333333334,0.281983903249963,1,1,1
"2546","PF3D7_1019500",0.0508442473707018,0.0653854809664045,0.0735407725262707,5478.90833333333,5009.18333333334,4736.24166666667,0.0226965251555689,1,1,1
"2547","PF3D7_1019600",-0.00530646858372771,-0.0893635300098221,-0.048931732591263,7596,8417.09166666667,7884.9,0.0840570614260944,1,1,1
"2548","PF3D7_1019700",-0.067781153814422,0.0267938594665965,0.158834203272,9724.40000000002,10080.15,9773.19583333335,0.226615357086422,1,1,1
"2549","PF3D7_1019800",-0.0513259544824462,-0.150506628475837,0.0824395222193975,3417.25,3621.06458333333,2483.65416666667,0.232946150695234,1,1,1
"2550","PF3D7_1019900",-0.0587707103683721,-0.386952535440201,0.0539364213612339,10169.05,4781.325,11117.0666666667,0.440888956801435,1,1,1
"2551","PF3D7_1020000",0.0582350771839673,-0.0462885504794082,0.113164486917573,2317.83333333333,2132.68333333334,2171.51666666667,0.159453037396981,1,1,1
"2552","PF3D7_1020200",-0.0501991956922825,0.18480310391087,-0.270770510482818,660.320833333333,709.420833333333,587.133333333333,0.455573614393688,1,1,1
"2553","PF3D7_1020300",-0.11988153671581,0.186897021492287,-0.210336758338033,706.245833333331,549.3125,500.504166666667,0.39723377983032,1,1,1
"2554","PF3D7_1020400",-0.0901232186200163,0.00638294414367123,-0.0551516272458602,1030.99583333333,946.520833333333,1029.3375,0.0965061627636875,1,1,1
"2555","PF3D7_1020500",-0.0141179254366245,0.0963547563986246,0.00245473693446846,1995.85,2449.34166666667,1839.26666666667,0.110472681835249,1,1,1
"2556","PF3D7_1020600",-0.0136178027242244,0.128867246010244,-0.103586655018574,608.491666666667,985.958333333335,874.458333333333,0.232453901028818,1,1,1
"2557","PF3D7_1020700",-0.0999241141819585,0.012354513519722,-0.0801291006023523,2398.7625,2439.17083333333,1767.4875,0.112278627701681,1,1,1
"2558","PF3D7_1020800",0.199648754780539,0.28826262254775,-0.297872440789291,229.141666666667,234.475,208.708333333333,0.586135063337041,0,0,0
"2559","PF3D7_1020900",-0.0370531222327216,0.109547102082997,-0.0684426218866443,29194.6083333334,27527.2666666666,26737.7,0.177989723969641,1,1,1
"2560","PF3D7_1021000",-0.0117828558999938,-0.012940178734358,-0.0721959513151089,2904.94166666666,2866.75833333333,2469.4125,0.0604130954151152,1,1,1
"2561","PF3D7_1021100",0.0936726189100588,-0.104237333830205,0.0339724535031547,2023.12083333333,1864.31666666667,2018.05416666667,0.197909952740264,1,1,1
"2562","PF3D7_1021200",0.429782527195306,-0.452647692821847,-0.351876844485482,5185.5,4109.66666666667,4861.71666666667,0.882430220017152,1,1,1
"2563","PF3D7_1021300",-0.023298552464673,-0.110188178544338,-0.01660167058496,4545.16666666667,4927.25833333334,4016.95833333333,0.0935865079593785,1,1,1
"2564","PF3D7_1021400",0.0795600086789218,-0.0540778550960373,0.0551967432692268,4043.77916666667,4335.84166666667,4074.42083333333,0.133637863774959,1,1,1
"2565","PF3D7_1021500",-0.0729563999586348,-0.00836975586993592,-0.0636487387177055,2269.5625,2568.59583333334,2337.88333333334,0.0645866440886989,1,1,1
"2566","PF3D7_1021600",-0.184622565175209,-0.0272437112420564,0.157270602474144,3649.9,3850.8,4739.26666666666,0.341893167649353,1,1,1
"2567","PF3D7_1021700",-0.0470057746865549,0.0707108086454452,0.0778713618099878,14553.5416666666,13491.5583333333,12951.775,0.124877136496543,1,1,1
"2568","PF3D7_1021800",0.020555562820684,0.00342537167174729,-0.050114063363903,7209.675,9997.94166666668,12492.9041666667,0.070669626184587,1,1,1
"2569","PF3D7_1021900",0.0110183857084773,0.201182475782938,-0.141292230037061,19976.0166666666,24968.7166666667,21463.85,0.34247470582,1,1,1
