Gene_id	l_A7	r_A7	m_A7	s_A7	l_E5	r_E5	m_E5	s_E5	l_B11	r_B11	m_B11	s_B11	MaxLeft	MinLeft	MaxRight	MinRight	MaxMid	MinMid	MaxSides	MinSides	DifLeft	DifRight	DifMid	DifSides	Interval	MaxDif	areaFC	area_A7	area_E5	area_B11	MaxArea	MinArea
PF3D7_0619200	16.3717520797725	7.45006070870386	11.5277971570537	12.2940156314227	15.1246171199441	5.89214816277959	10.5126405233538	10.5041247593699	15.6154414139902	5.38088000676644	9.7839509907206	11.2123704300361	16.3717520797725	15.1246171199441	7.45006070870386	5.38088000676644	11.5277971570537	9.7839509907206	12.2940156314227	10.5041247593699	1.247134959828399	2.0691807019374195	1.7438461663330997	1.7898908720528013	Right	2.0691807019374195	0.13840673591554647	7.45006070870386	5.89214816277959	5.38088000676644	7.45006070870386	5.38088000676644
PF3D7_0619300	16.8505318685802	12.3326634085137	18.3710262419883	10.8121690351057	15.6782315533246	11.4254153567648	19.6981390422056	7.40550786788373	16.6229021283308	13.471817684692	19.8978523775165	10.1968674355063	16.8505318685802	15.6782315533246	13.471817684692	11.4254153567648	19.8978523775165	18.3710262419883	10.8121690351057	7.40550786788373	1.172300315255601	2.0464023279272006	1.5268261355282	3.40666116722197	Sides	3.40666116722197	0.22787031218876055	10.8121690351057	7.40550786788373	10.1968674355063	10.8121690351057	7.40550786788373
PF3D7_0619400	5.60377293836507	17.475219925643	14.3330276743647	8.74596518964342	6.14434219252275	21.1028466929408	15.0474547452478	12.1997341402158	10.5293538243168	20.7236091134333	18.4883427837148	12.7646201540353	10.5293538243168	5.60377293836507	21.1028466929408	17.475219925643	18.4883427837148	14.3330276743647	12.7646201540353	8.74596518964342	4.92558088595173	3.6276267672978015	4.155315109350099	4.018654964391882	Left	4.92558088595173	0.3294702933746977	5.60377293836507	6.14434219252275	10.5293538243168	10.5293538243168	5.60377293836507
PF3D7_0619500	22.840211472844	14.0594260051542	22.5501145414681	14.3495229365301	22.1341121450203	15.5634085203361	23.0158459543939	14.6816747109624	23.80332658672	16.3280335963994	24.7297149128491	15.4016452702703	23.80332658672	22.1341121450203	16.3280335963994	14.0594260051542	24.7297149128491	22.5501145414681	15.4016452702703	14.3495229365301	1.669214441699701	2.2686075912451997	2.1796003713809995	1.0521223337402006	Right	2.2686075912451997	0.15174632717359196	14.0594260051542	15.5634085203361	16.3280335963994	16.3280335963994	14.0594260051542
PF3D7_0619600	16.0541342646621	6.44956353515706	14.1105342433262	8.39316355649292	18.5417256705665	8.42764942895365	16.5552861960552	10.4140889034649	14.0214400766349	7.00018521130079	12.9664705263278	8.05515476160796	18.5417256705665	14.0214400766349	8.42764942895365	6.44956353515706	16.5552861960552	12.9664705263278	10.4140889034649	8.05515476160796	4.5202855939316	1.9780858937965897	3.588815669727399	2.35893414185694	Left	4.5202855939316	0.30236024039676257	16.0541342646621	18.5417256705665	14.0214400766349	18.5417256705665	14.0214400766349
PF3D7_0619700	4.83748923899818	27.8219469495215	14.3960507242406	18.263385464279	4.00861424738718	24.7129620299793	12.3156524615179	16.4059238158485	7.67823793726739	28.3802907346439	15.6641652612129	20.3943634106983	7.67823793726739	4.00861424738718	28.3802907346439	24.7129620299793	15.6641652612129	12.3156524615179	20.3943634106983	16.4059238158485	3.6696236898802104	3.6673287046646017	3.3485127996950013	3.988439594849801	Sides	3.988439594849801	0.2667852571805887	18.263385464279	16.4059238158485	20.3943634106983	20.3943634106983	16.4059238158485
PF3D7_0619800	17.3710892562517	9.0410651012992	15.0625025318343	11.3496518257167	18.4219215658848	10.9438442909793	18.1734063761806	11.1923594806835	18.5174410250761	10.4612931531697	17.0973304924075	11.8814036858383	18.5174410250761	17.3710892562517	10.9438442909793	9.0410651012992	18.1734063761806	15.0625025318343	11.8814036858383	11.1923594806835	1.146351768824399	1.9027791896800998	3.1109038443463017	0.6890442051548007	Mid	3.1109038443463017	0.20808721366864896	15.0625025318343	18.1734063761806	17.0973304924075	18.1734063761806	15.0625025318343
PF3D7_0619900	9.18671660313849	3.36006881163086	6.51288712981543	6.03389828495393	10.1687777275386	5.28608162415224	6.92306939714362	8.53178995454723	12.4527799605062	5.09088285301884	9.38284635587265	8.16081645765239	12.4527799605062	9.18671660313849	5.28608162415224	3.36006881163086	9.38284635587265	6.51288712981543	8.53178995454723	6.03389828495393	3.2660633573677096	1.9260128125213805	2.8699592260572198	2.4978916695933	Left	3.2660633573677096	0.21846577641255582	9.18671660313849	10.1687777275386	12.4527799605062	12.4527799605062	9.18671660313849
PF3D7_0620000	3.60115552245035	5.24051503219753	3.78935157450896	5.05231898013892	7.88692427670317	6.11353065063109	6.42032237375618	7.58013255357808	8.46606140479672	5.86420806144514	6.90007774065649	7.43019172558536	8.46606140479672	3.60115552245035	6.11353065063109	5.24051503219753	6.90007774065649	3.78935157450896	7.58013255357808	5.05231898013892	4.8649058823463704	0.87301561843356	3.1107261661475305	2.5278135734391602	Left	4.8649058823463704	0.32541176470544286	3.60115552245035	7.88692427670317	8.46606140479672	8.46606140479672	3.60115552245035
PF3D7_0620100	19.9591289882261	46.1093535736594	38.5327378122952	27.5357447495903	28.2959789561411	47.3975876306905	42.2072850313371	33.4862815554945	26.1491755745179	46.9620155265573	44.7817989311783	28.3293921698968	28.2959789561411	19.9591289882261	47.3975876306905	46.1093535736594	44.7817989311783	38.5327378122952	33.4862815554945	27.5357447495903	8.336849967914997	1.2882340570311044	6.249061118883098	5.9505368059042	Left	8.336849967914997	0.5576488272852841	19.9591289882261	28.2959789561411	26.1491755745179	28.2959789561411	19.9591289882261
