"Gene ID","source_id","sense - T05 - unique only","sense - T10 - unique only","sense - T15 - unique only","sense - T20 - unique only","sense - T25 - unique only","sense - T30 - unique only","sense - T35 - unique only","sense - T40 - unique only","antisense - T05 - unique only","antisense - T10 - unique only","antisense - T15 - unique only","antisense - T20 - unique only","antisense - T25 - unique only","antisense - T30 - unique only","antisense - T35 - unique only","antisense - T40 - unique only","sense - T05","sense - T10","sense - T15","sense - T20","sense - T25","sense - T30","sense - T35","sense - T40","antisense - T05","antisense - T10","antisense - T15","antisense - T20","antisense - T25","antisense - T30","antisense - T35","antisense - T40"
"PF3D7_1314900","PF3D7_1314900.1","14.19","56.64","111.11","103.02","96.41","113.38","91.69","33.02","0","0.24","0.33","0.22","0.26","0.14","0.07","1.03","11.51","49.99","100.46","93.57","88.28","105.25","86.17","28.83","0.13","0.21","0.29","0.27","0.29","0.33","0.19","0.97"
"PF3D7_1315500","PF3D7_1315500.1","78.02","43.08","68.04","121.12","132.44","125.09","81.08","72.14","1.18","0.52","1.42","1.93","1.54","1.09","0.89","1.94","63.26","38.03","61.47","110.16","121.02","116.27","76.2","63.13","0.96","0.46","1.29","1.89","1.41","1.01","0.84","1.69"
"PF3D7_1316100","PF3D7_1316100.1","46.64","69.24","94","82.01","60.6","79.3","129.4","152.2","2.34","0.73","0.14","0.22","0.13","0.11","0.12","1.67","37.9","61.2","85.04","74.63","55.44","73.79","121.73","133.03","1.9","0.66","0.15","0.2","0.12","0.12","0.14","1.47"
"PF3D7_1317500","PF3D7_1317500.1","19.64","8.81","7.28","28.53","115.47","218.35","264.18","136.26","1.03","0","1.09","2.62","4.01","5.07","1.52","2.64","15.92","9.33","7.24","26.81","106.3","202.69","248.3","120.14","0.84","0","0.99","2.38","3.67","4.71","1.43","2.3"
"PF3D7_1317800","PF3D7_1317800.1","324.7","1008.19","1531.28","1770.44","1768.69","1243.03","1104.47","500.73","1.49","5.21","2.69","3.03","3.53","1.37","0","1.22","263.27","891.04","1385.1","1610.52","1618.21","1154.81","1038.58","438.12","1.21","4.6","2.84","2.75","3.23","1.27","0","1.07"
"PF3D7_1320800","PF3D7_1320800.1","9.26","3.46","1.55","1.4","48.88","122.47","134.06","55.8","0","0","0","0.07","0.12","0.14","0","1.34","7.57","3.05","1.4","1.27","44.73","113.69","126.13","48.72","0.06","0","0","0.06","0.11","0.13","0","1.17"
"PF3D7_1321900","PF3D7_1321900.1","638.92","415.58","175.82","164.21","120.48","135.89","89.76","61.82","0.21","0.32","0.22","0.2","0.35","0.19","0.47","1.72","518.13","366.91","158.96","149.16","110.18","126.15","84.36","53.98","0.17","0.29","0.3","0.37","0.32","0.18","0.44","1.5"
"PF3D7_1322100","PF3D7_1322100.1","72.24","102.18","85.21","64.65","44.02","34.47","25.11","9.86","0.11","0.09","0.09","0.02","0.07","0.07","0.18","1.58","58.78","90.54","77.41","58.92","40.49","32.22","23.77","8.76","0.1","0.08","0.12","0.08","0.09","0.08","0.2","1.43"
"PF3D7_1322300","PF3D7_1322300.1","3.74","1.86","2.49","6.16","26.59","62.46","63.15","32.76","0.1","0.04","0.02","0.1","0.09","0.19","0.16","1.72","3.07","1.66","2.25","5.68","24.33","58.02","59.37","28.68","0.08","0.06","0.08","0.14","0.08","0.25","0.19","1.52"
"PF3D7_1322800","PF3D7_1322800.1","2.94","1.91","0.57","0.25","3.78","20.41","15.13","16.38","0","0","0","0.25","0","0.25","0.24","1.02","3.9","2.65","1.53","4.39","8.94","25.34","16.89","14.98","0","0","0","0.23","0","0.23","0.22","1.12"
"PF3D7_1323100","PF3D7_1323100.1","101.29","381.34","810.36","1193.06","1240.47","900.14","757.96","370.94","0.65","0.5","0.34","0.46","0.81","0.15","0.57","1.87","82.39","336.6","732.15","1084.1","1133.94","835.74","712.52","324.18","0.79","0.44","0.31","0.42","0.86","0.14","0.54","1.76"
"PF3D7_1323400","PF3D7_1323400.1","610.02","2006.66","3700.77","4673.81","4404.95","2986.99","2958.18","1393.29","0.32","0.83","0.69","1.7","0.81","1.64","2.01","2.49","494.62","1772.39","3345.9","4246.72","4028.67","2775.31","2782.6","1217.56","0.26","0.73","0.62","1.68","0.74","1.52","1.89","2.17"
