"Gene ID","source_id","pfal3D7_Stunnenberg_pi_time_series - Hour 5 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 10 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 15 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 20 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 25 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 30 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 35 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 40 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 5 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 10 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 15 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 20 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 25 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 30 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 35 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 40 - nonunique (3D7 iRBC RNASeq)","scaled  - Hour 5 - unique (3D7 iRBC RNASeq)","scaled  - Hour 10 - unique (3D7 iRBC RNASeq)","scaled  - Hour 15 - unique (3D7 iRBC RNASeq)","scaled  - Hour 20 - unique (3D7 iRBC RNASeq)","scaled  - Hour 25 - unique (3D7 iRBC RNASeq)","scaled  - Hour 30 - unique (3D7 iRBC RNASeq)","scaled  - Hour 35 - unique (3D7 iRBC RNASeq)","scaled  - Hour 40 - unique (3D7 iRBC RNASeq)"
"PF3D7_0114200","PF3D7_0114200.1","0.4","0.09","0","0.38","0.24","0.31","0.41","0.28","0.51","0.23","0.08","0.34","0.22","0.57","0.44","0.33","0.03","0","0","0.07","0.16","0.28","0.41","0.13"
"PF3D7_0114400","PF3D7_0114400.1","0.76","0.4","0.36","0.51","1.29","0.47","0.26","0.76","0.77","0.41","0.45","0.45","1.28","0.57","0.29","0.87","0.05","0.02","0.02","0.09","0.83","0.42","0.26","0.35"
"PF3D7_0114700","PF3D7_0114700.1","0.11","0.19","0.83","3.71","7.15","1","0.15","0.2","0.18","0.25","0.82","3.48","6.56","1.32","0.2","0.18","0.01","0.01","0.05","0.67","4.6","0.89","0.15","0.09"
"PF3D7_0300300","PF3D7_0300300.1","0.38","0.2","0.07","0.07","0.06","0.08","0.1","0","2.12","1.75","1.35","0.78","1","0.36","0.43","0.37","0.02","0.01","0","0.01","0.04","0.07","0.1","0"
"PF3D7_0301100","PF3D7_0301100.1","1.77","1.44","0.52","0.26","0.77","0.84","2.32","0.74","1.49","1.25","0.8","0.23","0.7","0.77","2.22","0.66","0.11","0.07","0.03","0.05","0.5","0.75","2.32","0.35"
"PF3D7_0301500","PF3D7_0301500.1","28.88","51.27","63.93","38.46","22.89","21.26","26.21","22.72","24.37","45.08","56.38","34.25","20.84","19.36","24.26","20.25","1.83","2.64","4.11","6.93","14.73","18.97","26.21","10.53"
"PF3D7_0302900","PF3D7_0302900.1","24.08","55.76","88.42","87.52","92.33","107.91","126.42","117.52","20.28","48.52","78.13","77.94","83.84","98.36","116.56","104.82","1.52","2.87","5.69","15.77","59.42","96.27","126.42","54.47"
"PF3D7_0303400","PF3D7_0303400.1","7.61","3.14","1.85","0.49","1.01","4.44","24.4","65.25","6.63","2.73","1.63","0.43","0.95","4.04","22.44","58.43","0.48","0.16","0.12","0.09","0.65","3.96","24.4","30.24"
"PF3D7_0306100","PF3D7_0306100.1","20.93","32.86","43.98","43.88","49.58","55.85","63.05","54.83","17.82","28.81","39.35","39.24","45.23","50.95","58.44","49.18","1.33","1.69","2.83","7.91","31.91","49.82","63.05","25.41"
"PF3D7_0306500","PF3D7_0306500.1","11.56","7.08","2.46","2.67","8.85","32.34","64.98","95.92","9.81","6.51","2.36","2.47","8.19","29.55","59.84","85.67","0.73","0.36","0.16","0.48","5.7","28.85","64.98","44.46"
"PF3D7_0307700","PF3D7_0307700.1","29.44","10.22","3.78","10.15","43.8","60.52","98.19","141.58","25.27","8.98","3.57","9.32","40.29","55.85","91.59","127.9","1.86","0.53","0.24","1.83","28.19","53.99","98.19","65.62"
"PF3D7_0308100","PF3D7_0308100.1","27.94","5.44","1.64","0.62","0.79","1.35","23.23","123.59","24.01","4.92","1.62","0.81","1.02","1.67","21.75","110.92","1.77","0.28","0.11","0.11","0.51","1.2","23.23","57.28"
"PF3D7_0308200","PF3D7_0308200.1","57.91","105.56","149.79","199.94","300.94","280.3","150.1","83.3","49.1","91.99","132.36","177.73","273.47","255.53","138.22","74.34","3.67","5.43","9.64","36.03","193.66","250.07","150.1","38.61"
"PF3D7_0308400","PF3D7_0308400.1","52.09","207.83","34.62","20.22","7.12","4.55","7.82","11.26","43.77","180.83","30.53","17.95","6.46","4.14","7.19","10.03","3.3","10.7","2.23","3.64","4.58","4.06","7.82","5.22"
"PF3D7_0308800","PF3D7_0308800.1","76.46","20.88","5.53","3.68","19.7","78.09","93.47","124.1","64.52","18.17","5.15","3.54","18.09","71.4","86.17","110.6","4.84","1.08","0.36","0.66","12.67","69.66","93.47","57.52"
"PF3D7_0309200","PF3D7_0309200.1","23.29","13.14","9.82","18.6","41.57","73.37","135.29","139.98","20.85","12.77","9.43","18.15","40.19","72.3","133.37","131.31","1.47","0.68","0.63","3.35","26.76","65.46","135.29","64.88"
"PF3D7_0310200","PF3D7_0310200.1","253.46","211.12","142.48","134.88","134.41","95.69","93.13","51.2","329.62","284.11","195.73","189.46","188.15","147.07","133.64","69.6","16.04","10.87","9.17","24.31","86.5","85.37","93.13","23.73"
"PF3D7_0311300","PF3D7_0311300.1","48.78","17.7","6.39","6.76","26.5","52.17","103.95","163.33","41.3","15.63","5.91","6.34","24.45","47.85","95.95","145.85","3.09","0.91","0.41","1.22","17.05","46.54","103.95","75.7"
"PF3D7_0313000","PF3D7_0313000.1","30.78","71.45","80.79","65.1","52.83","63.5","97.44","72.17","26.12","62.86","71.58","59.16","49.22","58.2","90.18","65.38","1.95","3.68","5.2","11.73","34","56.65","97.44","33.45"
"PF3D7_0313200","PF3D7_0313200.1","8.53","12.36","10.59","14.85","30.9","62.27","89.84","72.4","7.17","10.98","9.59","13.19","28.23","56.98","82.9","64.64","0.54","0.64","0.68","2.68","19.89","55.55","89.84","33.55"
"PF3D7_0314500","PF3D7_0314500.1","66.96","183.83","293.01","280.56","222.7","170.8","101.55","67.12","56.5","160.05","258.85","249.44","202.39","156.05","93.75","60.16","4.24","9.46","18.86","50.56","143.32","152.38","101.55","31.11"
"PF3D7_0314800","PF3D7_0314800.1","8.88","1.89","0.84","0.55","0.3","0.83","10.73","34.2","7.69","1.88","0.85","0.77","0.47","0.98","10.14","30.7","0.56","0.1","0.05","0.1","0.19","0.74","10.73","15.85"
"PF3D7_0315800","PF3D7_0315800.1","25.74","40.01","45.48","41.91","49.63","43.55","40.22","30.51","21.79","34.81","40.35","37.37","45.13","39.75","37.18","27.42","1.63","2.06","2.93","7.55","31.94","38.86","40.22","14.14"
"PF3D7_0318300","PF3D7_0318300.1","25.95","47.65","55.24","47.74","34.35","37.74","60.55","62.18","46.29","86.91","97.86","86.85","58.09","74.5","104.02","107.66","1.64","2.45","3.55","8.6","22.11","33.67","60.55","28.82"
"PF3D7_0319100","PF3D7_0319100.1","22.37","22.22","28.84","77.35","127.11","211.05","193.98","245.18","18.8","20.07","25.71","69.22","115.94","193.38","179.42","219.03","1.42","1.14","1.86","13.94","81.8","188.28","193.98","113.64"
"PF3D7_0319300","PF3D7_0319300.1","4.35","16.81","35.16","29.68","39.12","34.72","38.38","29.53","4.2","14.63","31","26.35","35.47","31.61","35.44","26.31","0.28","0.87","2.26","5.35","25.18","30.98","38.38","13.68"
"PF3D7_0319500","PF3D7_0319500.1","56.93","163.73","218.68","262.27","254.5","329.93","347.98","202.22","48.41","142.97","193.13","233.41","231.7","301.59","320.76","180.77","3.6","8.43","14.07","47.26","163.78","294.34","347.98","93.73"
"PF3D7_0319600","PF3D7_0319600.1","89.67","314.67","495.16","574.25","588.87","589.44","459.74","332.24","75.91","275.31","437.02","510.57","534.64","537.76","423.39","296.09","5.68","16.2","31.87","103.48","378.96","525.86","459.74","153.99"
"PF3D7_0320600","PF3D7_0320600.1","81.36","18.5","5.54","7.04","26.55","48.54","79.66","85.87","69.7","16.9","6","6.47","25.41","45.43","74.75","76.96","5.15","0.95","0.36","1.27","17.08","43.3","79.66","39.8"
"PF3D7_0321900","PF3D7_0321900.1","38.37","60.8","57.7","38.93","25.34","28.96","46.14","62.64","32.48","53.11","51.07","34.93","23.33","26.62","42.63","55.96","2.43","3.13","3.71","7.02","16.31","25.83","46.14","29.03"
"PF3D7_0322200","PF3D7_0322200.1","2.97","2.33","1.95","1.6","0.97","0.91","1.8","3.55","2.85","2.45","2.04","1.73","1.43","1.35","2.3","3.73","0.19","0.12","0.13","0.29","0.63","0.81","1.8","1.65"
"PF3D7_0322400","PF3D7_0322400.1","19.04","86.97","120.78","114.96","98.9","94.19","60.81","26.06","23.77","114.24","152.48","146.97","123.55","130.98","85.25","33.77","1.21","4.48","7.77","20.71","63.64","84.03","60.81","12.08"
"PF3D7_0322800","PF3D7_0322800.1","4.23","5.75","12.7","18.73","23.75","13.67","9.83","8.41","4.04","5.29","11.2","16.63","21.81","12.45","9.41","7.5","0.27","0.3","0.82","3.37","15.28","12.2","9.83","3.9"
"PF3D7_0323100","PF3D7_0323100.1","4.06","8.47","22.81","36.62","51.11","55.42","56.38","46","3.59","7.53","20.39","32.74","46.57","50.82","52.07","41.35","0.26","0.44","1.47","6.6","32.89","49.44","56.38","21.32"
"PF3D7_0324000","PF3D7_0324000.1","0","0","0","0","0.1","0","0","0","4.06","6.24","8.14","5.56","3.44","1.16","1.86","0.9","0","0","0","0","0.06","0","0","0"
"PF3D7_0601100","PF3D7_0601100.1","5.31","8.66","9.57","6.22","4.52","1.41","0.62","0.41","120.77","223.61","265.44","189.69","98.32","31.7","6.75","3.2","0.34","0.45","0.62","1.12","2.91","1.25","0.62","0.19"
"PF3D7_0602500","PF3D7_0602500.1","0.74","2.83","9.52","19.79","38.36","43.37","29.89","23.51","0.62","2.47","8.39","17.57","35.04","39.49","27.6","21.1","0.05","0.15","0.61","3.57","24.68","38.69","29.89","10.9"
"PF3D7_0603400","PF3D7_0603400.1","28.04","75.9","119.17","126.89","114.37","83.37","91.06","51.21","23.64","66.23","105.25","113.02","103.86","76.09","84.06","45.84","1.77","3.91","7.67","22.86","73.6","74.37","91.06","23.73"
