Gene_id	A7_tp10	A7_tp20	A7_tp30	A7_tp37	A7_tp40	A7_tp43	Red_A7	E5_tp10	E5_tp20	E5_tp30	E5_tp37	E5_tp40	E5_tp43	Red_E5	B11_tp10	B11_tp20	B11_tp30	B11_tp37	B11_tp40	B11_tp43	Red_B11	Percent_A7	Percent_E5	Percent_B11	MaxRedPercentDif	MeanRedPercent	MaxRedPercent
PF3D7_1422300	1656.6020000000506	1925.0650000000032	3016.236000000066	2449.692000000046	2551.2409999999236	2700.151999999965	2858.1940000000154	2528.321000000017	3245.842000000016	2922.3699999999035	1923.5969999999713	2632.331999999973	1916.7139999999433	3084.1059999999597	2328.8060000000314	3173.0960000000114	3750.4769999999776	2380.8189999999763	3023.8149999999473	1839.3160000000235	3461.7864999999947	57.75276884601644	57.32404430153626	62.611647016791714	5.287602715255453	59.22948672144814	62.611647016791714
PF3D7_1422400	2053.127662914071	2760.847831312922	1373.1056447185638	905.0224202480433	879.6020002729923	1045.0972909047096	2406.987747113497	1926.0881023163531	3734.538691101205	1306.8020111079888	901.011057493307	865.9261205982235	1512.9643290636752	2830.3133967087792	2127.253504245139	2963.2730192671256	1031.6320246721698	1053.404637310027	608.3552471795058	1173.032684485755	2545.263261756132	51.05394783851376	53.84065737763487	50.69667738478027	3.1439799928545966	51.8637608669763	53.84065737763487
PF3D7_1422500	299.13266254655366	280.68171862166145	1924.0929545786591	4753.6075751823055	4605.300332763239	2871.441218952051	4679.453953972772	387.3447674437212	423.0580873414421	2115.5917810355763	5315.287394960452	5187.715338673205	2744.279640214494	5251.5013668168285	351.7377386369286	486.7171022959832	3763.0568924922995	6003.317602294608	2646.42336562233	2396.0742053022764	4883.187247393454	74.61593426223652	75.38406573776348	74.16934619506966	1.214719542693814	74.72311539835655	75.38406573776348
PF3D7_1422600	114.1908267978514	274.8157085145047	1117.9929361753818	1981.3918562283664	1452.117804918071	1120.70572886234	1716.7548305732187	153.49631313775626	475.7759320789565	1166.4072835455636	2027.0158197705246	1499.558235866182	1521.987313933497	1774.501566852011	218.73827439736732	483.9291475153683	1318.0609769608723	2199.7932175720994	1043.2759616342125	1233.7126620636113	1758.9270972664858	37.54912468738835	34.9231868524473	35.28045730618078	2.6259378349410483	35.91758961533881	37.54912468738835
PF3D7_1422700	855.6291249257619	2403.239906221317	1888.8612567749653	1697.2096145689075	1186.97257782309	850.3546584858233	2146.050581498141	939.7714878206335	3406.206247164757	2111.5307531502967	1267.3770339579137	960.4561126364331	1006.0342444046489	2758.868500157527	1294.7792152487702	2687.0496214889126	1719.8958005925042	1623.754590041238	667.9887023608642	832.8430323122665	2203.4727110407084	46.463022508038584	52.62593783494105	44.08717399071097	8.538763844230076	47.7253781112302	52.62593783494105
PF3D7_1422800	1134.4783220917038	929.7161987522722	1345.9968334829016	576.389340639224	454.32944522537997	347.2607126178674	1240.2375777873026	1200.5610688853237	1353.5350087345673	1400.3261560293909	756.4699920168828	495.5747059253237	416.65519236543827	1376.930582381979	1587.4800895942365	1200.1672916548155	1306.6790489267062	749.634656336007	285.58017601913394	438.60969111044454	1447.0795692604713	27.54555198285102	27.277599142550912	29.867809932118618	2.5902107895677062	28.23032035250685	29.867809932118618
PF3D7_1422900	323.731208146079	166.26728913258924	334.43517976815826	787.9111730209202	707.1488953666275	1110.3104184096092	949.1107957152647	285.40173747032446	281.8343543815238	274.29105612806563	380.48292552557467	794.8500090145291	844.5308165255767	819.690412770053	477.7428158444145	261.2208216881842	224.51040814091468	280.57591399876094	655.5199271350929	882.889680845009	769.204803990051	22.29367631296892	17.845659163987136	18.202929617720613	4.4480171489817835	19.447421698225558	22.29367631296892
PF3D7_1423000	2390.4477342460436	2867.3346089086217	2447.1363906635675	1363.1173056124062	1259.6668160438137	1288.8168015291806	2657.235499786095	2803.01334458128	4016.37844057098	2244.653868551601	1471.7514845312692	1404.6104098485578	2058.1913805656823	3409.69589257613	2615.8940224956086	3324.1544238353727	1513.5925624371494	1706.340712108863	1152.8547863793772	1756.2689218454257	2970.0242231654906	54.75169703465524	60.96820292961772	56.37727759914255	6.216505894962481	57.36572585447183	60.96820292961772
PF3D7_1423100	90.1735217673127	108.97345188424553	144.99224430230728	1439.7308640381593	2116.797045202014	2047.5313186181243	2082.164181910069	79.24593198834111	114.15219152832745	200.2793519137475	1390.0934389195204	1767.3128412703973	2410.737637009075	2089.025239139736	97.69656216233992	150.79487907002638	174.18024354389578	2422.332256153099	1439.3486632857682	2240.874015225894	2331.6031356894964	45.55198285101822	40.76455877098964	46.605930689531974	5.841371918542336	44.307490770513276	46.605930689531974
PF3D7_1423200	1022.3836207810665	1592.248368847033	1494.6543116166192	865.3418940626289	532.8630452913759	390.83524089413817	1543.4513402318262	1183.6732225942953	2418.5059758652196	1279.1018214747216	849.2456574705345	601.4264961442676	564.0882260264972	1848.8038986699707	1074.6822180883746	1920.4700313995406	1344.507810811085	813.8315737534687	300.33038653314725	482.5693497599593	1632.4889211053128	33.904966059306894	36.4951768488746	32.83315469810646	3.662022150768138	34.41109920209598	36.4951768488746
